Member Name,Username,No. Of Portfolios,ID Verification,Portfolio Verification,Location,Size (KB),Subscription
Katherine Cooper,grahamsandy,3,Not verified,Verified,"West Thomas, Alaska, Uruguay",7732.6,Basic
Dustin Clay,melanie08,4,Verified,Verified,"Lake Nicolehaven, Rhode Island, Kenya",3064.56,Premium
Calvin Mason MD,sharon46,2,Verified,Verified,"Erikastad, Nebraska, Czech Republic",8064.2,Basic
Stephanie Clark,gilmorejessica,0,Not verified,Not verified,"Coxmouth, Indiana, Aruba",8642.61,Premium
Felicia Rivas,ipearson,5,Verified,Verified,"Edwardshaven, West Virginia, Djibouti",6171.54,Standard
Lori Jacobson,joseph59,3,Not verified,Verified,"South Jamieton, Louisiana, Macao",2737.99,Premium
Sherry Hamilton,wrightstephanie,1,Not verified,Verified,"Garciaview, California, Western Sahara",6569.78,Advanced
William Robertson,barrerajane,0,Verified,Verified,"East Tammy, New York, Togo",6821.56,Premium
Kayla Wheeler,hayden71,2,Not verified,Not verified,"Rachelmouth, Maryland, Chad",9661.92,Basic
Paul Williams,bmiller,2,Not verified,Not verified,"Harperbury, Florida, San Marino",5881.86,Premium
Colleen Smith,ihensley,4,Verified,Verified,"Smithstad, North Dakota, Trinidad and Tobago",6507.19,Premium
Kelly Scott,emilyking,1,Not verified,Verified,"Lake Brian, Mississippi, Ecuador",8209.5,Premium
Gerald Anderson,katherinehanson,2,Not verified,Verified,"Lake Briannaton, Montana, Cook Islands",5387.25,Premium
William Nguyen,timothyross,5,Verified,Verified,"Port Michealmouth, Michigan, United Arab Emirates",6669.72,Advanced
Melissa James,cheryl23,4,Not verified,Not verified,"Lake Kyle, Delaware, Congo",4447.35,Basic
Jack Barker,madison28,2,Not verified,Not verified,"Roachstad, Arkansas, Saint Pierre and Miquelon",5881.71,Basic
Heather Craig,jasononeal,4,Verified,Verified,"Nicolehaven, Montana, Latvia",442.49,Standard
David Martinez,kevinchang,4,Not verified,Verified,"Knightville, New Mexico, Senegal",308.76,Basic
Richard Williams,dannyprince,1,Verified,Verified,"Keithland, Oregon, Uzbekistan",5226.13,Premium
Erica Alvarez,butlerheather,2,Not verified,Verified,"Martinezfurt, New Hampshire, Sudan",5884.92,Basic
Pamela Williams,ericbrown,0,Verified,Not verified,"Benjaminview, Illinois, El Salvador",6789.06,Advanced
Kayla Houston,jeannebrown,5,Verified,Not verified,"South Shelley, Iowa, Kyrgyz Republic",9998.27,Standard
Alexis Davidson,lonnie00,2,Verified,Not verified,"South Mark, Ohio, Guinea",691.56,Advanced
Devin Leonard,richardhaas,2,Not verified,Verified,"Annafurt, Alaska, Armenia",713.12,Basic
Megan Collier,tmartinez,1,Not verified,Not verified,"Williamsstad, North Carolina, United States Virgin Islands",3007.54,Advanced
Theresa Frank,bwilliams,3,Not verified,Not verified,"Port Kathryn, North Dakota, United States Minor Outlying Islands",240.27,Standard
Travis Martinez,jessicamiller,3,Verified,Verified,"East Timothyport, Illinois, El Salvador",1640.96,Standard
Bianca Rubio,sandra47,4,Not verified,Verified,"Mcdowellhaven, California, Norfolk Island",6275.48,Basic
William Evans,fostersamantha,5,Not verified,Not verified,"Katelynstad, Oklahoma, Spain",7982.15,Basic
Brittany Long MD,cwilliams,1,Not verified,Not verified,"Johnhaven, Alaska, Armenia",746.9,Advanced
Francis Morrison,coopernicholas,4,Not verified,Not verified,"North Christian, Pennsylvania, Liberia",7500.47,Standard
Jason Sparks,perezanthony,1,Verified,Not verified,"Natalieview, New York, Holy See (Vatican City State)",5702.67,Advanced
Arthur Villanueva,irodriguez,5,Verified,Verified,"New Madison, New Hampshire, Hong Kong",2426.74,Advanced
Elizabeth Harvey,christopherlarson,0,Not verified,Verified,"Lake Charlesside, Missouri, United Arab Emirates",9486.37,Premium
Casey Flores,monicashaw,5,Not verified,Verified,"Johnview, Kentucky, Gibraltar",260.55,Standard
Charles Freeman,sara29,5,Verified,Verified,"Nelsonmouth, South Dakota, Tajikistan",8115,Advanced
Beverly Foster,spencercraig,3,Verified,Verified,"West Daisyfort, Alaska, Tokelau",2077.92,Basic
Raymond Phillips,lauren75,4,Verified,Verified,"South Nicole, North Carolina, Cook Islands",2195.02,Basic
Michael Rodriguez,cfleming,2,Not verified,Not verified,"Jenniferville, Nebraska, Wallis and Futuna",2274.05,Basic
Patrick Parker,katelyn59,0,Verified,Verified,"East Thomas, Oklahoma, Mongolia",2054.22,Standard
Chris Cook,williamstimothy,4,Verified,Verified,"North Lori, Illinois, Niue",7347.89,Advanced
Laura Kelley,victor27,0,Not verified,Verified,"North Susan, Pennsylvania, Iraq",2012.46,Standard
Pamela Small,seth07,0,Not verified,Not verified,"South Amy, Nevada, Aruba",509.71,Advanced
Jacob Williams,ashleylozano,4,Not verified,Verified,"North Angela, Arkansas, Gabon",222.9,Advanced
Stephen Thompson,john27,2,Verified,Not verified,"North Stanleymouth, Minnesota, Nepal",153.84,Advanced
Linda Harris,nicole79,0,Verified,Not verified,"Schultzfort, Louisiana, Bahrain",5698.1,Standard
Sharon Sandoval,brownryan,2,Verified,Not verified,"East Heather, Rhode Island, Jamaica",8026.67,Advanced
David Gonzalez,porterleah,4,Not verified,Not verified,"Port Brendan, Alaska, Egypt",1168.68,Standard
Lisa Torres,zluna,0,Not verified,Verified,"Johnsonville, West Virginia, Philippines",8190.24,Basic
Luis Woods,jeaton,0,Not verified,Verified,"Johnsonhaven, Pennsylvania, Azerbaijan",4217.27,Advanced
Alexis Powell,samuelbradley,5,Not verified,Not verified,"New Jill, Colorado, Ecuador",8948.1,Premium
David Kirk,julie54,2,Not verified,Not verified,"New Kevin, Missouri, Belgium",644.05,Standard
Latoya David,patricia00,2,Not verified,Not verified,"South Jonathan, Kansas, Tuvalu",7815.26,Premium
Whitney Allen,claudia81,3,Not verified,Not verified,"Cruzchester, New Hampshire, United States Virgin Islands",9704.62,Basic
Katelyn Cross,dfloyd,3,Not verified,Not verified,"Harringtonhaven, West Virginia, British Virgin Islands",1163.97,Premium
Omar Sparks,hgarcia,2,Not verified,Not verified,"West Kevinside, Hawaii, Vanuatu",7270.49,Premium
Linda Russell,heatherfox,3,Not verified,Verified,"Diazport, Missouri, Tajikistan",7054.78,Advanced
Austin Garcia,donaldglenn,0,Verified,Not verified,"East Jenniferton, Pennsylvania, Comoros",2994.19,Premium
Terry Jones PhD,susanharris,4,Verified,Not verified,"Smithfort, Georgia, Israel",2708.84,Premium
Robert Jackson,charleshicks,2,Not verified,Verified,"Chandlerborough, Kentucky, Macao",9102.96,Premium
Lisa Harrington,matthew84,2,Not verified,Not verified,"South Angelville, Kentucky, Canada",7490.07,Advanced
Amy Taylor,qray,3,Not verified,Not verified,"New Ashley, North Carolina, Djibouti",5449.91,Premium
Joann Kirby,jamie71,2,Not verified,Not verified,"Port Craigside, New York, Montserrat",2962.94,Advanced
Nicholas Garcia,cpeters,1,Not verified,Not verified,"East Travis, Vermont, Monaco",8032.24,Standard
Gary Cervantes,brian91,4,Verified,Not verified,"Jillhaven, Kentucky, Turks and Caicos Islands",8971.15,Premium
Katelyn Reed,nayala,5,Verified,Verified,"North Tasha, Washington, Panama",8380.25,Advanced
Laura Thompson,jmitchell,0,Verified,Not verified,"North Joshuamouth, Iowa, Iran",9093.45,Premium
Kenneth Wells,matthewolsen,1,Not verified,Not verified,"East Toddmouth, Idaho, Bosnia and Herzegovina",9038.17,Basic
Stephanie Glass,smithhaley,1,Not verified,Not verified,"East Erin, Mississippi, Netherlands",4574.27,Advanced
Meghan Gaines,kle,3,Verified,Not verified,"Markfort, Utah, Singapore",1394.3,Premium
Adam Orozco,andersonaustin,0,Not verified,Not verified,"Lake Christianview, Indiana, United States Virgin Islands",2311.74,Basic
Christopher Bryant,hannah31,0,Not verified,Not verified,"Port Robert, Georgia, Croatia",7012.1,Premium
Wesley Martin,petersongregory,0,Not verified,Not verified,"Courtneyville, Virginia, Montenegro",5137.03,Standard
Shelby Watts,westricky,4,Not verified,Verified,"Stephanieside, Alaska, Austria",165.48,Basic
Ana Valdez,mcmahonheather,2,Not verified,Not verified,"Washingtonbury, Georgia, Mali",3750.04,Premium
Madison Oliver,louisgraham,2,Not verified,Verified,"North Kayla, New Jersey, Mexico",3043.62,Basic
Sarah Thomas,perrykaren,1,Verified,Not verified,"Melissafurt, Michigan, Greece",3696.43,Standard
Timothy Hansen,valentinerachel,4,Verified,Not verified,"North Jonathan, Georgia, Burkina Faso",1397.39,Advanced
Sarah Douglas,nicholas79,0,Not verified,Verified,"Lake Johnathantown, South Dakota, Afghanistan",969.82,Advanced
Bryan Hernandez,richardshannon,5,Not verified,Verified,"West Judithton, Colorado, Ecuador",6188.97,Advanced
Theresa Jones,thompsoncatherine,2,Verified,Not verified,"Masonside, South Dakota, Singapore",1557.76,Basic
Chad Stewart,wspencer,4,Not verified,Not verified,"Port Norman, North Carolina, Marshall Islands",1695.92,Advanced
Laura Durham,longmiranda,0,Verified,Verified,"Velasquezview, Ohio, Samoa",4201.99,Advanced
Jessica Gallegos,beckercaleb,3,Verified,Verified,"Stevenhaven, Pennsylvania, Vietnam",3209.66,Standard
Frank Dunn,wheelersteven,4,Verified,Verified,"Johnport, South Carolina, Anguilla",7925.5,Premium
Brittany Terry,duranchristopher,3,Not verified,Verified,"South Katelyn, South Carolina, Dominica",7096.93,Advanced
Timothy Moore,patrickreyes,0,Verified,Not verified,"Lake Markside, Oregon, Comoros",5605.99,Premium
Aaron Wilson,david45,1,Not verified,Verified,"Adamside, West Virginia, Saint Vincent and the Grenadines",3823.65,Basic
Eric Brooks,ronaldgutierrez,1,Verified,Verified,"West Heather, Rhode Island, Isle of Man",997.08,Advanced
Nicole Harper,lisa04,4,Not verified,Verified,"New Edward, Montana, Tuvalu",8095.18,Premium
Jonathon Everett,heather80,4,Not verified,Not verified,"East Ryantown, Delaware, Mauritania",793.59,Standard
Dr. Kimberly Mason,kcannon,4,Verified,Verified,"Lake Shannon, Arkansas, Switzerland",7215.74,Advanced
Benjamin White,martinezrobert,4,Verified,Verified,"Mullenchester, Maryland, Svalbard & Jan Mayen Islands",8994.49,Standard
Andre Cardenas,sjackson,0,Verified,Verified,"South Jessica, Pennsylvania, Nigeria",1334.79,Premium
Albert Washington,julia87,0,Verified,Verified,"Nelsonton, Iowa, Montenegro",3134,Standard
Jennifer Edwards,romanscott,4,Not verified,Verified,"Campbellfurt, Florida, Vanuatu",6776.08,Standard
Aaron Sullivan,crossadam,5,Verified,Verified,"Hoton, Hawaii, Saint Barthelemy",3939.43,Standard
Daniel Waters,heatheraguirre,0,Verified,Not verified,"North Brian, Ohio, Nauru",3562.65,Premium
Toni Cortez,christinebryant,1,Not verified,Verified,"Matthewfurt, Nevada, Norfolk Island",7372.29,Advanced
John Kline,williamcampos,0,Verified,Not verified,"Matthewhaven, Nevada, United States Virgin Islands",7514.57,Basic
Thomas Goodwin,jacobsjason,0,Not verified,Verified,"North William, Colorado, Burkina Faso",1413.06,Advanced
Robert Lowe,dsims,3,Verified,Not verified,"Gonzalezstad, South Carolina, Sao Tome and Principe",6959.16,Advanced
Monica Singh,ogibson,5,Verified,Verified,"Beckerhaven, Maine, United Arab Emirates",5532.37,Basic
Veronica Mcgrath,fbender,3,Verified,Not verified,"Berryborough, Nebraska, Saint Barthelemy",7217.93,Basic
Zachary Stone,angela91,0,Not verified,Verified,"West Nancyview, South Dakota, Western Sahara",9419,Advanced
Jeffrey Lee,shelbywelch,1,Not verified,Not verified,"Lake Monica, New Hampshire, Swaziland",7126.95,Basic
Donald Merritt,roberthenderson,0,Verified,Not verified,"Lake Terri, North Dakota, Cook Islands",6577.86,Standard
Melissa Hodges,beasleylynn,0,Verified,Verified,"Shannonfurt, Utah, Georgia",7562.07,Premium
Brittany Parker,andrehobbs,5,Verified,Verified,"New Robert, Texas, Western Sahara",5692.85,Advanced
Alyssa Lee,sean39,0,Verified,Not verified,"Gonzalezside, Alaska, Mexico",3264.02,Standard
Scott Jenkins,heatherroman,2,Not verified,Not verified,"South Miguel, Minnesota, Tunisia",2989.67,Standard
Tracy Marshall,daisystewart,4,Not verified,Verified,"Guymouth, Alaska, Taiwan",7790.38,Advanced
Leslie Dixon,newtonevelyn,3,Not verified,Verified,"Port Josephburgh, Oklahoma, Saint Vincent and the Grenadines",1601.56,Premium
Leah Chavez,johnsonnicholas,0,Verified,Verified,"Susanborough, South Carolina, Syrian Arab Republic",1361.92,Premium
David Parks,shane16,4,Not verified,Verified,"South Kevin, New Hampshire, Turkmenistan",4904.72,Standard
Nicole Mcdonald,debra31,0,Not verified,Not verified,"South Jenniferland, Colorado, Malta",3675.01,Advanced
David Smith,iharding,5,Not verified,Verified,"Port Christina, Iowa, Maldives",3910.53,Premium
Gary Moreno,gonzaleztami,1,Not verified,Not verified,"New Karenchester, Missouri, Austria",6438.88,Basic
Nicole Marshall,cwalters,4,Verified,Not verified,"Cardenasborough, Texas, India",3674.62,Premium
Adam Stevenson,rjenkins,5,Verified,Not verified,"South Dustin, Minnesota, Solomon Islands",2299.48,Advanced
Jeffery Norman,catkinson,3,Verified,Verified,"Stephanieburgh, Arkansas, Saint Pierre and Miquelon",2192.96,Premium
Stacy George,cperkins,3,Not verified,Verified,"West Alicefort, North Dakota, Poland",1064.67,Standard
Karen Johnston,laura93,0,Not verified,Not verified,"Port Danielville, Alaska, Lebanon",114.26,Basic
Randy Navarro,thomas45,1,Not verified,Not verified,"New Carriefort, West Virginia, Korea",3341.4,Premium
Stacie Wilson,carolyn71,0,Verified,Not verified,"West Chad, Connecticut, North Macedonia",5965.99,Basic
Glenda Kennedy,ebarrett,4,Verified,Not verified,"Leeport, Michigan, Guatemala",266.31,Premium
Lisa Brown,deanrichard,4,Verified,Verified,"Nortonberg, Alabama, Bahrain",4578.58,Advanced
Joann King,corey88,1,Not verified,Verified,"Reneehaven, Illinois, Serbia",223.57,Advanced
Thomas Serrano,shannonroberts,5,Not verified,Not verified,"New Desireeberg, Idaho, Chile",7066.59,Advanced
Deborah Combs,collinsnancy,1,Not verified,Verified,"Murphychester, North Carolina, Tuvalu",9591.54,Premium
Regina Smith,alberttorres,5,Verified,Not verified,"New Kennethberg, Pennsylvania, Taiwan",4196.31,Advanced
Molly Jones,fmcfarland,5,Not verified,Verified,"Lisaburgh, California, Hungary",2096.48,Advanced
Kevin Estrada,xgregory,0,Verified,Verified,"Taylorbury, Missouri, Puerto Rico",8287.44,Advanced
Benjamin Randall,suzannejones,0,Not verified,Not verified,"Lake Amanda, Pennsylvania, Finland",2950.2,Basic
Joshua Rice,xwilliams,3,Verified,Not verified,"Davisshire, Oregon, Comoros",6357.63,Premium
Caitlin Perez,tgonzalez,2,Not verified,Verified,"Lake Cameronville, Louisiana, Montserrat",5937.34,Basic
Jonathan Hardin,spencer25,0,Verified,Verified,"Lake Theresa, Mississippi, Uzbekistan",1646.9,Premium
Caitlyn Baker,tuckermary,3,Verified,Not verified,"Port Johnfurt, Pennsylvania, Venezuela",6601.97,Basic
Sarah Bryan,gmorrison,5,Verified,Not verified,"North Matthew, Michigan, Congo",459.26,Basic
Daniel Mitchell,cphelps,3,Not verified,Not verified,"Lake Sandraton, Michigan, Bermuda",6446.11,Basic
Gabrielle Fuller,palmerdavid,2,Verified,Verified,"Murrayton, New Jersey, Liberia",2689.69,Advanced
Jesse Rivera,dawsonjeffrey,4,Verified,Verified,"Baileyton, Oregon, Jamaica",7234.58,Standard
Kyle Gibbs,henrytiffany,2,Verified,Verified,"Sherylside, New Mexico, Algeria",2810.39,Premium
James Jones,joshua42,1,Not verified,Verified,"East Michellestad, Nebraska, Senegal",8128.93,Standard
William Cole,zharris,2,Not verified,Verified,"New Jimmyberg, California, Reunion",1539.53,Standard
Chad Hernandez,ray76,2,Not verified,Verified,"South Thomas, Colorado, Malawi",9876.4,Basic
Luis Baker,jason90,4,Verified,Not verified,"Torreston, South Carolina, Cambodia",891.43,Premium
Cody King,jamesunderwood,5,Not verified,Verified,"Hoffmanville, Oklahoma, Falkland Islands (Malvinas)",4328.2,Advanced
Kathy Lopez,bradsmith,3,Verified,Not verified,"West James, Maine, Denmark",5418.95,Standard
Austin Berg,collincampbell,4,Verified,Not verified,"Lake Lori, Arkansas, Palau",8504.62,Standard
Steven Lyons,lewisemily,3,Verified,Verified,"South Robertside, New Hampshire, Niue",6218.97,Premium
Mary Meza,jenniferbell,3,Not verified,Not verified,"South Gwendolyn, Minnesota, Cameroon",8584.9,Standard
Gabriel Turner,rebeccanelson,1,Not verified,Verified,"New Tracey, Minnesota, Rwanda",3564.3,Basic
Tiffany Johnston,ghall,1,Verified,Not verified,"Brownview, Arizona, Niger",8271.31,Advanced
Christy Williams,duncanmegan,2,Not verified,Not verified,"South Christopher, South Dakota, Northern Mariana Islands",8952.91,Premium
Gary Burns,qsaunders,5,Verified,Verified,"East Valerieberg, New Hampshire, Netherlands Antilles",1007.04,Advanced
Megan Davis,juan69,0,Verified,Not verified,"East Shannonview, Montana, Netherlands",6288.7,Premium
Melissa Moss DVM,zchase,5,Verified,Not verified,"Patriciatown, Louisiana, Mali",1037.19,Premium
Samantha Alvarez,ortizamy,3,Verified,Not verified,"East Peterberg, Washington, South Africa",3683.7,Standard
Barbara Cummings,katiebarr,3,Verified,Not verified,"North Pamelastad, Kansas, Turkey",5848.24,Standard
Jeffrey Harris,udunn,2,Not verified,Verified,"South Kathrynstad, Wisconsin, Madagascar",1073.39,Premium
James Hart,charles03,2,Verified,Verified,"South Connor, Rhode Island, Wallis and Futuna",4415.7,Standard
Lisa Smith,frankmartin,5,Not verified,Verified,"Laurenville, Hawaii, Saudi Arabia",3981.74,Advanced
Zachary Alexander,bcox,0,Not verified,Verified,"Jacksonshire, Delaware, Cook Islands",6991.93,Advanced
Ryan Long,davidhayes,4,Not verified,Verified,"Lake Kimberly, Montana, Micronesia",3285.79,Basic
Angela French,rmcneil,3,Verified,Not verified,"Port Melanieview, Rhode Island, Cameroon",3405.25,Advanced
Nicholas Hayes,carolramirez,2,Not verified,Verified,"Port Elizabeth, New York, Senegal",2089.69,Standard
Anthony Brady,johnsonkevin,5,Verified,Not verified,"South Thomas, Oklahoma, Puerto Rico",2195.09,Standard
Todd Fuentes,katherineguerrero,2,Not verified,Not verified,"North Joshuabury, New York, Poland",2212.59,Advanced
Dennis Roth,gabrielthomas,2,Verified,Verified,"Stevenmouth, Tennessee, Slovenia",3472.12,Advanced
Joshua Lewis,walkerdavid,4,Verified,Not verified,"North Cassie, Maryland, Suriname",5584.34,Standard
Melissa Little,martinezlawrence,4,Not verified,Not verified,"Andradestad, Florida, Montenegro",7602.89,Premium
Kevin Rivera,frederickjessica,0,Not verified,Verified,"Davidport, Indiana, Saint Kitts and Nevis",1578.74,Standard
Jeanette Perez,itorres,4,Verified,Verified,"South Bryanport, Maine, El Salvador",1638.99,Basic
Matthew Allen,cmack,2,Not verified,Verified,"West Ashley, New Mexico, Saint Kitts and Nevis",2447.95,Basic
Jessica Young,paulmassey,1,Verified,Not verified,"New Scott, Nebraska, Antarctica (the territory South of 60 deg S)",7113.97,Basic
Anthony Ramsey,chelsea96,2,Not verified,Not verified,"North Michelle, Maryland, Liechtenstein",5162.8,Standard
Stephanie Mendez,jennifer89,1,Not verified,Verified,"New Mark, Alaska, Bolivia",2237.36,Standard
Karen Meyer,cruzkrista,5,Verified,Not verified,"East Territown, Kansas, Syrian Arab Republic",5722.69,Basic
Nicole Johnson,emilywarren,4,Verified,Verified,"North Seth, West Virginia, Tokelau",4848.7,Advanced
David Nelson,yangkeith,3,Not verified,Not verified,"East Frederick, Alaska, Cayman Islands",9273.01,Advanced
Dennis Green,ryanspence,2,Not verified,Verified,"Danielleburgh, Texas, Cyprus",5511.6,Basic
Seth Rose,nicolemartinez,1,Verified,Verified,"Lake Patriciaport, Oregon, Liberia",2117.86,Premium
Lisa Black,melissascott,4,Verified,Verified,"West Edwin, Massachusetts, United Arab Emirates",7476.11,Basic
Mary Willis,smithadam,5,Not verified,Verified,"North Lisa, Nevada, Pakistan",3900.93,Basic
Adam Waller,alexandrachang,4,Verified,Not verified,"West Adam, Connecticut, Estonia",1144.48,Premium
Melinda Miller,avalentine,2,Verified,Verified,"Lake Ashleyberg, Idaho, Denmark",9978.48,Advanced
Autumn Martin,eperkins,2,Verified,Verified,"Patriciafort, Louisiana, Finland",1800.32,Basic
Adam Walker,qblack,0,Verified,Verified,"Samanthatown, Idaho, Romania",3802.84,Standard
Molly Mcdonald,julielee,5,Verified,Verified,"South Leeport, Pennsylvania, Andorra",4244.87,Standard
Jeffrey Blanchard,cassidy18,5,Not verified,Not verified,"Coxbury, South Carolina, Austria",1978.5,Premium
Matthew Sanchez,sean78,1,Not verified,Not verified,"South Erikaview, Arkansas, Malta",7234.1,Advanced
Thomas Brown,davidhartman,4,Verified,Verified,"Wilsonhaven, Wisconsin, Paraguay",1478.83,Premium
Scott Sanders,washingtongina,5,Verified,Not verified,"New Timothy, Tennessee, Mauritius",1841.68,Basic
Casey Burke,xdunn,5,Not verified,Not verified,"Christinastad, Iowa, Nigeria",3587.34,Standard
Patty Jensen,james21,5,Verified,Verified,"West Susanbury, Maine, Greece",5870.17,Standard
Gabriel Gibson,michelle08,2,Verified,Not verified,"East Barbarachester, Missouri, Romania",521.54,Standard
Kim Mcclure,tomwilliams,3,Verified,Verified,"Alanmouth, Louisiana, Yemen",5194.12,Standard
Chelsea Welch,kmcgee,5,Not verified,Not verified,"West Christinatown, New Hampshire, Iran",7901.86,Basic
Kathleen Bond,bprice,4,Verified,Verified,"Danielmouth, Arizona, Malta",1211.09,Premium
Alexis Williams,kmurray,3,Verified,Verified,"Whiteshire, Illinois, Saint Barthelemy",2746.29,Basic
Jeffrey Mcintosh,lesliegeorge,0,Not verified,Not verified,"Lake Carolyn, California, Malta",8719.63,Basic
Ricky Thomas,boothjessica,3,Not verified,Not verified,"East Courtney, South Carolina, New Caledonia",3192.31,Basic
Michael Bates,abbottjason,0,Verified,Not verified,"Port Marcus, Illinois, Senegal",8979.98,Advanced
Nathan Brooks,smithjohn,0,Not verified,Not verified,"Riverahaven, Vermont, Colombia",5398.17,Premium
Kevin Holland,millerchristopher,2,Not verified,Not verified,"Jessicaville, Oregon, Maldives",5782.91,Premium
Rebecca Mitchell,bellmichelle,2,Not verified,Not verified,"Michaelhaven, Delaware, Japan",1736.7,Basic
Kathleen Gross,dcarney,2,Verified,Not verified,"New Vanessa, California, Cook Islands",644.92,Premium
Jose Weaver Jr.,patriciavasquez,2,Not verified,Verified,"Markfurt, Texas, Aruba",5012.64,Standard
